pl_name,hostname,pl_orbper,pl_rade,pl_bmasse
Kepler-944 b,Kepler-944,43.3167737,2.63,7.41
Kepler-1266 c,Kepler-1266,4.86631012,1.68,3.46
Kepler-632 b,Kepler-632,30.99660733,2.21,5.52
Kepler-696 b,Kepler-696,4.19042558,6.14,31.3
Kepler-671 b,Kepler-671,4.28095859,2.69,7.7
Kepler-711 b,Kepler-711,23.58914398,3.41,11.5
Kepler-69 c,Kepler-69,242.4613,1.71,3.57
Kepler-642 b,Kepler-642,4.41745855,2.9,8.75
Kepler-755 c,Kepler-755,2.85313364,1.26,2.13
Kepler-762 b,Kepler-762,3.7705521,12.68,
Kepler-267 d,Kepler-267,28.464515,2.27,5.77
Kepler-947 b,Kepler-947,26.9644317,2.28,5.82
Kepler-698 b,Kepler-698,16.32976218,3.68,13.1
Kepler-625 c,Kepler-625,4.1653651,1.05,1.16
Kepler-849 b,Kepler-849,394.62508,8.082,298.7587
Kepler-84 d,Kepler-84,4.224537,1.38,2.48
Kepler-35 b,Kepler-35,131.458,8.16,40.363
Kepler-766 b,Kepler-766,6.10027804,3.39,11.4
Kepler-767 b,Kepler-767,161.5280101,6.64,35.7
Kepler-214 b,Kepler-214,15.660544,2.61,7.32
Kepler-462 c,Kepler-462,207.62,4.0,6.0
Kepler-978 b,Kepler-978,49.6221509,2.99,9.22
Kepler-896 b,Kepler-896,144.547396,2.53,6.94
KOI-7913 b,KOI-7913 A,24.278553,2.34,6.08
Kepler-68 d,Kepler-68,632.62,13.9,267.0
Kepler-1032 b,Kepler-1032,3.29011795,1.87,4.16
Kepler-81 d,Kepler-81,20.837846,1.21,1.92
Kepler-81 c,Kepler-81,12.04,2.37,4.3
Kepler-993 b,Kepler-993,22.08557563,2.97,9.11
Kepler-996 b,Kepler-996,3.77059058,1.98,4.58
Kepler-769 b,Kepler-769,7.42608998,2.92,8.85
Kepler-825 c,Kepler-825,8.1818246,1.84,4.04
Kepler-616 c,Kepler-616,90.4113556,3.41,11.5
Kepler-1033 b,Kepler-1033,7.56052806,2.51,6.85
Kepler-722 c,Kepler-722,105.144749,2.82,8.35
Kepler-818 b,Kepler-818,10.03538581,5.11,22.9
Kepler-595 c,Kepler-595,12.38602,1.009,3.3
KOI-12 b,KOI-12,17.855182,13.787,349.613
KOI-3680 b,KOI-3680,141.241671,11.097,613.4119
CoRoT-7 c,CoRoT-7,3.698,2.83,8.4
Kepler-395 c,Kepler-395,34.989262,1.32,2.3
Kepler-290 d,Kepler-290,0.76401755,0.86,0.566
Kepler-776 b,Kepler-776,4.89718784,1.28,2.18
Kepler-1695 b,Kepler-1695,4.7329,1.119,1.46
Kepler-415 b,Kepler-415,4.176,1.21,119.9
Kepler-417 b,Kepler-417,12.331,2.31,11.0
Kepler-600 b,Kepler-600,23.67517607,2.9,8.75
